user,mentions_count,link
knowyourmeme,2,https://twitter.com/knowyourmeme
keithurban,2,https://twitter.com/keithurban
lone_star,2,https://twitter.com/lone_star
disneylandcats,2,https://twitter.com/disneylandcats
annetteatx,2,https://twitter.com/annetteatx
elieverines,2,https://twitter.com/elieverines
wessybgood,2,https://twitter.com/wessybgood
voguemagazine,2,https://twitter.com/voguemagazine
giffdev,2,https://twitter.com/giffdev
glenda_copeland,2,https://twitter.com/glenda_copeland
zedge,2,https://twitter.com/zedge
kendra_fee,2,https://twitter.com/kendra_fee
raw_threads,2,https://twitter.com/raw_threads
latimes,2,https://twitter.com/latimes
capitolrecords,2,https://twitter.com/capitolrecords
blossomsband,2,https://twitter.com/blossomsband
opel,2,https://twitter.com/opel
strandbookstore,2,https://twitter.com/strandbookstore
disneyparks,2,https://twitter.com/disneyparks
chaptersindigo,2,https://twitter.com/chaptersindigo
complexmag,2,https://twitter.com/complexmag
nickyhilton,2,https://twitter.com/nickyhilton
comfycritters,2,https://twitter.com/comfycritters
mooseblooduk,2,https://twitter.com/mooseblooduk
blazarseeda,2,https://twitter.com/blazarseeda
ivonetwitta,2,https://twitter.com/ivonetwitta
wafflescat,2,https://twitter.com/wafflescat
lowemillarts,2,https://twitter.com/lowemillarts
opelde,2,https://twitter.com/opelde
thens68,2,https://twitter.com/thens68
evantoddhere,2,https://twitter.com/evantoddhere
iheartcomix,2,https://twitter.com/iheartcomix
betallic,2,https://twitter.com/betallic
chinesetheatres,2,https://twitter.com/chinesetheatres
oreo,2,https://twitter.com/oreo
disneychannel,2,https://twitter.com/disneychannel
disney,2,https://twitter.com/disney
refinery29,2,https://twitter.com/refinery29
xxplwxx,2,https://twitter.com/xxplwxx
irobot,2,https://twitter.com/irobot
tinamuelleropel,2,https://twitter.com/tinamuelleropel
henrilechatnoir,2,https://twitter.com/henrilechatnoir
amgreetings,2,https://twitter.com/amgreetings
nursenina814,2,https://twitter.com/nursenina814
webkinz,2,https://twitter.com/webkinz
rsvpster,2,https://twitter.com/rsvpster
extragrumpycat,2,https://twitter.com/extragrumpycat
wirls,2,https://twitter.com/wirls
petside,2,https://twitter.com/petside
nordstrom,2,https://twitter.com/nordstrom
_taylor5,2,https://twitter.com/_taylor5
hollywoodhelper,2,https://twitter.com/hollywoodhelper
luckykatstudios,2,https://twitter.com/luckykatstudios
terrybradshaw,2,https://twitter.com/terrybradshaw
madametussauds,2,https://twitter.com/madametussauds
primark,2,https://twitter.com/primark
petrageous,2,https://twitter.com/petrageous
