user,count_followers,count_following,count_tweets_published_all_time,link
melissaldork,212,414,36409,https://twitter.com/melissaldork
brenttopa,211,842,6168,https://twitter.com/brenttopa
ohredjay,205,484,12094,https://twitter.com/ohredjay
quinntennial1,204,204,4487,https://twitter.com/quinntennial1
nursenina814,204,476,2255,https://twitter.com/nursenina814
skiptonick,201,674,7765,https://twitter.com/skiptonick
lookitsjake,199,394,6938,https://twitter.com/lookitsjake
kinky_pixie,192,147,101223,https://twitter.com/kinky_pixie
pandapreston,190,351,1134,https://twitter.com/pandapreston
vampss_,188,238,6422,https://twitter.com/vampss_
justred29,186,668,1778,https://twitter.com/justred29
tai00,184,306,15900,https://twitter.com/tai00
anneapolo,178,81,14943,https://twitter.com/anneapolo
edxvicious,176,467,34008,https://twitter.com/edxvicious
idkmawatwittah,173,163,7173,https://twitter.com/idkmawatwittah
arielbombs,171,1308,6568,https://twitter.com/arielbombs
charlotteaddie,167,161,2324,https://twitter.com/charlotteaddie
mre_with_an_e,161,470,1483,https://twitter.com/mre_with_an_e
suzanne_marie7,155,311,1167,https://twitter.com/suzanne_marie7
nene2snaps,155,191,14362,https://twitter.com/nene2snaps
maximus1865,154,911,564,https://twitter.com/maximus1865
rossalex3,146,665,7511,https://twitter.com/rossalex3
streetplayer13,144,503,13035,https://twitter.com/streetplayer13
courtkneebaanet,143,277,1234,https://twitter.com/courtkneebaanet
punkybex15,141,315,18711,https://twitter.com/punkybex15
tmalloysaint,141,1153,18284,https://twitter.com/tmalloysaint
silly_rabbits,138,185,7033,https://twitter.com/silly_rabbits
misssarakeay,137,440,965,https://twitter.com/misssarakeay
hockey_beach_69,134,911,1122,https://twitter.com/hockey_beach_69
nsuri20_sxsw,131,143,1043,https://twitter.com/nsuri20_sxsw
girlreadthis,124,142,20771,https://twitter.com/girlreadthis
annetteatx,123,596,1534,https://twitter.com/annetteatx
amiraai,121,256,5685,https://twitter.com/amiraai
melissajbeaver,119,309,1583,https://twitter.com/melissajbeaver
grumpyhatesodor,111,158,116,https://twitter.com/grumpyhatesodor
a9n2t1,106,147,16425,https://twitter.com/a9n2t1
lola348foryou,100,79,402,https://twitter.com/lola348foryou
destinykaus19,98,147,828,https://twitter.com/destinykaus19
wispywolfie,95,235,380,https://twitter.com/wispywolfie
mrgdr,88,601,4421,https://twitter.com/mrgdr
reallytalltruth,86,297,1417,https://twitter.com/reallytalltruth
amandalyn883,79,401,2131,https://twitter.com/amandalyn883
suplada,78,261,13220,https://twitter.com/suplada
meliacamacho,77,327,823,https://twitter.com/meliacamacho
megglet_bakes,72,317,995,https://twitter.com/megglet_bakes
dntworydrinkcha,71,192,404,https://twitter.com/dntworydrinkcha
filmfanaticx1,69,184,5796,https://twitter.com/filmfanaticx1
hdebow,60,199,1180,https://twitter.com/hdebow
lilgibster32,57,286,3518,https://twitter.com/lilgibster32
annaa09,56,205,2837,https://twitter.com/annaa09
lukedhornick,55,58,5458,https://twitter.com/lukedhornick
kmannon072861,49,70,203,https://twitter.com/kmannon072861
tabbybunny,43,364,869,https://twitter.com/tabbybunny
kool_beans_1,31,119,175,https://twitter.com/kool_beans_1
ashleyd911,28,170,231,https://twitter.com/ashleyd911
zerealmadcatter,24,97,581,https://twitter.com/zerealmadcatter
littleleelister,19,108,457,https://twitter.com/littleleelister
chodirt,15,60,128,https://twitter.com/chodirt
chadleebradley,13,52,129,https://twitter.com/chadleebradley
mollymopar,8,37,38,https://twitter.com/mollymopar
meanwhileatsf,7,71,192,https://twitter.com/meanwhileatsf
lemon_izze,7,73,55,https://twitter.com/lemon_izze
waitingindreams,6,37,14,https://twitter.com/waitingindreams
dennykimberly,6,7,733,https://twitter.com/dennykimberly
officalpiggymcp,0,2,44,https://twitter.com/officalpiggymcp
